[2017-08-26 03:39:41 http] Missing argument 3 for HTTP\Response::outputError(), called in /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/ErrorExceptionHandler.php on line 95 and defined | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Response.php | Line: 207
[2017-08-26 03:56:23 http] Missing argument 3 for HTTP\Response::outputError(), called in /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/ErrorExceptionHandler.php on line 95 and defined | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Response.php | Line: 207
[2017-08-26 03:56:32 http] Missing argument 3 for HTTP\Response::outputError(), called in /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/ErrorExceptionHandler.php on line 95 and defined | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Response.php | Line: 207
[2017-08-28 03:34:56 http] Missing argument 3 for HTTP\Response::outputError(), called in /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/ErrorExceptionHandler.php on line 95 and defined | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Response.php | Line: 207
[2017-08-28 05:51:37 http] Missing argument 3 for HTTP\Response::outputError(), called in /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/ErrorExceptionHandler.php on line 95 and defined | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Response.php | Line: 207
[2017-08-29 02:07:56 http] Missing argument 3 for HTTP\Response::outputError(), called in /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/ErrorExceptionHandler.php on line 95 and defined | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Response.php | Line: 207
[2017-08-29 04:04:24 http] require(/var/www/html/toKernel.3/application/Templates/default/error.tpl.php): failed to open stream: No such file or directory | File: /var/www/html/toKernel.3/tokernel.framework/Lib/Template.php | Line: 83
[2017-08-31 03:22:47 http] Cannot modify header information - headers already sent by (output started at /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/ErrorExceptionHandler.php:122) | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Response.php | Line: 190
[2017-09-01 10:54:49 http] require(/var/www/html/toKernel.3/application/Templates/default/error_404.tpl.php): failed to open stream: No such file or directory | File: /var/www/html/toKernel.3/tokernel.framework/Lib/Template.php | Line: 83
